"Date","Time","Scan","Foraging","Roosting","Alert","Preening"
2010-02-07,"Sunrise","1",1,0,0,0
2010-02-07,"Sunrise","1",1,0,0,0
2010-02-07,"Sunrise","1",1,0,0,0
2010-02-07,"Sunrise","1",1,0,0,0
2010-02-07,"Sunrise","1",1,0,0,0
2010-02-07,"Sunrise","1",1,0,0,0
2010-02-07,"Sunrise","1",1,0,0,0
2010-02-07,"Sunrise","1",1,0,0,0
2010-02-07,"Sunrise","1",1,0,0,0
2010-02-07,"Sunrise","1",1,0,0,0
2010-02-07,"Sunrise","1",1,0,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,1,0,0
2010-02-07,"Sunrise","1",0,0,0,1
2010-02-07,"Sunrise","1",0,0,0,1
2010-02-07,"Sunrise","1",0,0,0,1
2010-02-07,"Sunrise","1",0,0,0,1
2010-02-07,"Sunrise","1",0,0,0,1
2010-02-07,"Sunrise","1",0,0,0,1
2010-02-07,"Sunrise","1",0,0,0,1
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",1,0,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,1,0,0
2010-02-07,"Sunrise","2",0,0,0,1
2010-02-07,"Sunrise","2",0,0,0,1
2010-02-07,"Sunrise","2",0,0,0,1
2010-02-07,"Sunrise","2",0,0,0,1
2010-02-07,"Sunrise","2",0,0,0,1
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",1,0,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,1,0,0
2010-02-07,"Sunrise","3",0,0,0,1
2010-02-07,"Sunrise","3",0,0,0,1
2010-02-07,"Sunrise","3",0,0,0,1
2010-02-07,"Sunrise","3",0,0,0,1
2010-02-07,"Sunrise","3",0,0,0,1
2010-02-07,"Sunrise","3",0,0,0,1
2010-02-07,"Sunrise","3",0,0,0,1
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",1,0,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
2010-02-07,"Sunrise","4",0,1,0,0
